"OriginalID","NewID"
"1","508"
"10","527"
"11","528"
"12","529"
"13","530"
"14","531"
"15","514"
"16","532"
"17","533"
"18","534"
"19","515"
"2","509"
"20","535"
"21","536"
"22","537"
"23","538"
"24","516"
"25","539"
"26","540"
"27","541"
"28","542"
"29","517"
"3","510"
"30","543"
"31","544"
"32","545"
"33","518"
"34","546"
"35","547"
"36","548"
"37","549"
"38","519"
"39","550"
"4","511"
"40","551"
"41","552"
"42","553"
"43","520"
"44","554"
"45","555"
"46","556"
"47","557"
"48","558"
"49","559"
"5","512"
"50","521"
"51","560"
"52","561"
"53","562"
"54","563"
"55","522"
"56","564"
"57","565"
"58","566"
"59","523"
"6","524"
"60","567"
"61","568"
"62","569"
"63","570"
"64","571"
"65","572"
"66","573"
"7","525"
"8","526"
"9","513"
